Customer_Name,Customer_ID,Order_ID,Order_Date,Product_ID,Product,Category,Subsidiary_Name,Country,States,Price($),Year,Sales_Amount($),Quantity
Walmart,WM-1250,ORD-1001,7/1/2014,PROD- 101,ace-mango,White,Ace Cider,USA,Oregon,12.00,2014,12,000.00,1000
Kroger,KG-1251,ORD-1002,15/1/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Texas,52.00,2014,41,600.00,800
Costco,CC-1252,ORD-1003,22/1/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2014,8,400.00,700
Bwanaz,BN-1253,ORD-1004,3/1/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1005,3/1/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1006,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,Texas,40.00,,28,000.00,700
Costco,CC-1252,ORD-1007,22/1/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,8,500.00,500
Bwanaz,BN-1253,ORD-1008,3/1/2014,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2014,8,500.00,500
Costco,CC-1252,ORD-1009,22/1/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Kroger,KG-1251,ORD-1010,15/1/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,7,200.00,800
Walmart,WM-1250,ORD-1011,3/2/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,2014,18,000.00,1200
Walmart,WM-1250,ORD-1012,3/3/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,2014,18,000.00,1200
Walmart,WM-1250,ORD-1013,3/1/2014,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,2014,40,000.00,1000
Kroger,KG-1251,ORD-1014,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,,11,400.00,600
Costco,CC-1252,ORD-1015,22/1/2014,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Washington,62.00,2014,31,000.00,500
Bwanaz,BN-1253,ORD-1016,3/1/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2014,4,500.00,500
Walmart,WM-1250,ORD-1017,3/1/2014,PROD-103,ace-berry,Red,Ace Cider,USA,Oregon,9.00,2014,7,200.00,800
Kroger,KG-1251,ORD-1018,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,,37,200.00,600
Costco,CC-1252,ORD-1019,22/2/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Washington,12.00,2014,8,400.00,700
Bwanaz,BN-1253,ORD-1020,3/2/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,2014,7,500.00,500
Walmart,WM-1250,ORD-1021,3/4/2014,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,2014,18,000.00,1200
Kroger,KG-1251,ORD-1022,15/2/2014,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2014,41,600.00,800
